serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
88;The First Desktop Waterjet Cutter;Ended;1332%;Fabrication Tools;Bronx, NY;June 4, 2019;WAZER;['http://www.wazer.com/'];https://www.kickstarter.com/projects/1294137530/the-first-desktop-waterjet-cutter;Cut any material with digital precision using high pressure water. A compact waterjet for every workshop.
89;Delta Groove Guitars CNC Designs;Ended;171%;Fabrication Tools;Mount Vernon, IL;May 22, 2017;Darren Dukes;['http://www.deltagrooveguitars.com/', 'https://www.facebook.com/Delta-Groove-Guitars-'];https://www.kickstarter.com/projects/1121492999/delta-groove-guitars-cnc-designs;Delta Groove Guitars building Cigar box guitars, Necks, Pickups for over 8 years. we are planning to add CNC tooling to our offering
90;Bicycle Post Mount Disc Brake Jig;Ended;146%;Fabrication Tools;Gatineau, Canada;October 9, 2016;Eric Meinert;['http://www.incepi.net/', 'https://www.instagram.com/incepibicycle/', 'https://www.facebook.com/incepi/?ref=hl'];https://www.kickstarter.com/projects/4608648/bicycle-post-mount-disc-brake-jig;A fixture for bicycle frame builders. A tool for attaching Post Mount disc brake tabs(caliper mounts) to bicycle frames and forks.
91;FR4 Machine Shield -The CNC kit from an entire sheet of PCB.;Ended;121%;Fabrication Tools;Bozeman, MT;May 4, 2017;Pocket NC;['http://www.pocketnc.com/'];https://www.kickstarter.com/projects/1090944145/fr4-machine-shield;The FR4 is a 3 axis shield, cape, or hat for milling, laser engraving, and more assembled from a kit.
92;MotoSpirit UPC: Electric racing motorbike;Ended;106%;Fabrication Tools;Terrassa, Spain;July 13, 2016;MotoSpirit UPC;['https://motospiriteseiaat.com/'];https://www.kickstarter.com/projects/motospirit/motospirit-upc-engineering-for-racing;Students from the Polytechnic University of Catalonia, design and build an electric motorcycle for MotoStudent competition.
93;Mr Beam II - The Desktop Laser Cutter and Engraver;Ended;1178%;Fabrication Tools;Munich, Germany;July 10, 2020;Mr Beam Lasers;['http://mr-beam.org/', 'https://www.facebook.com/mrbeamlasercutter', 'https://twitter.com/mrbeamlasers', 'https://www.instagram.com/mrbeamlasers'];https://www.kickstarter.com/projects/mrbeam/mr-beam-ii-the-desktop-laser-cutter-and-engraver;Lasers are a wonderful technology - too wonderful to be used only in heavy industrial machines. Let's bring it to your desktop!
94;Scalpel Jones - A Titanium EDC Scalpel / Utility Knife;Ended;550%;Fabrication Tools;Hopatcong, NJ;March 13, 2018;Jackson Knife and Tool;['https://www.instagram.com/jacksonknifeandtool/'];https://www.kickstarter.com/projects/2122739158/scalpel-jones-a-titanium-edc-scalpel-utility-knife;An every day carry utility scalpel made in the USA of grade 5 titanium. Great for all occasions.
95;Flat Mount Disc Brake Jig;Ended;563%;Fabrication Tools;Ottawa, Canada;May 19, 2016;Eric Meinert;['http://www.incepi.net/', 'https://www.instagram.com/incepibicycle/', 'https://www.facebook.com/incepi/?ref=hl'];https://www.kickstarter.com/projects/4608648/flat-mount-disc-brake-jig;A fixture for bicycle frame builders. A tool for attaching Flat Mount disc brake caliper mounts to bike frames.
96;The Glue Looper - Version 3;Ended;443%;Fabrication Tools;Hartford, WI;March 6, 2017;Creative Dynamic LLC;['http://www.creativedynamicllc.com/'];https://www.kickstarter.com/projects/v5gluelooper/the-glue-looper-version-3;Ever wish there was a way to glue parts together without making a mess, slopping glue all over a project?
97;dTAPE Smart Laser Distance Meter;Ended;1029%;Fabrication Tools;Shenzhen, China;March 10, 2016;Mileseey;['http://www.mileseey.en.alibaba.com/'];https://www.kickstarter.com/projects/549146817/dtape-smart-laser-distance-meter;SMART DIGITAL TAPE,TOUCH NEW ERA
98;Evo-One desktop CNC Mill made for anyone!;Ended;239%;Fabrication Tools;Venice, Italy;May 5, 2017;MakerDreams;['http://www.makerdreams.it/'];https://www.kickstarter.com/projects/1029697729/evo-one-desktop-cnc-mill-made-for-anyone;Evo-One is a ready-to-run CNC Mill that gives life to your ideas from any materials.
99;Multistruder: 3D Printer Filament Extrusion Tool;Ended;100%;Fabrication Tools;San Jose, CA;December 24, 2015;The Green Engineers;['http://www.thegreenengineers.com/', 'https://www.facebook.com/thegreenengineers/', 'https://twitter.com/TheGrenEnginers'];https://www.kickstarter.com/projects/1718006136/multistruder-filament-extruder;A simple, rugged, expandable, modable, filament extruder and multipurpose fabrication tool.
100;polyXtruder - a DIY filament extruder for 3D Printers;Ended;100%;Fabrication Tools;Philadelphia, PA;May 5, 2016;Qudus Hamid;[];https://www.kickstarter.com/projects/290581102/polyxtruder-a-diy-filament-extruder-for-3d-printer;Stop wasting build materials/failed prints! Recycle & build your own filament. Blend different colors to have your own UNIQUE filament!
101;Makerarm-The first robotic arm that makes anything, anywhere;Ended;124%;Fabrication Tools;Austin, TX;October 20, 2018;Makerarm;['http://makerarm.com/'];https://www.kickstarter.com/projects/1849283018/makerarm-the-first-robotic-arm-that-makes-anything;A complete digital fabrication system for makers everywhere: 3D print, laser, carve, plot, assemble, pick/place + more on your desktop!
102;Squirrel Die Press: custom plexiglass dies & digital design;Ended;104%;Fabrication Tools;Chicago, IL;October 21, 2015;Maia Leppo;['http://www.maialeppo.com/'];https://www.kickstarter.com/projects/1481410701/squirrel-die-press-custom-plexiglass-dies-and-digi;Squirrel Die Press will offer custom hydraulic press dies made out of plexiglass as well as digital design assistance.
